,CASE#,CHRG_DESC,PREM_DESC,ADDRESS,DATE,TIME,DOW,DIST,CASE_NUM,DIST`,CASE_NU,CASE_#
23,20014978.0,MOTOR VEHICLE THEFT (NH STEAL),PARKING LOT / GARAGE,912 HOWARD AVE,20200408,1630,WED,5.0,,,,
24,20015076.0,AGGRAVATED ASSAULT,RESIDENCE/HOME,142 SYLVAN AVE,20200410,903,FRI,5.0,,,,
25,20015106.0,ROBBERY,STREET/HIGHWAY/ALLEYWAY,200 DAVENPORT AVE,20200410,1639,FRI,5.0,,,,
26,20014786.0,BURGLARY-BREAKING & ENTERING,RESTAURANT,1027 STATE ST,20200406,350,MON,7.0,,,,
27,20014793.0,LARCENY-FROM VEHICLE,RESIDENCE/HOME,"682 PROSPECT ST, 2",20200406,907,MON,7.0,,,,
28,20014902.0,LARCENY-FROM VEHICLE,STREET/HIGHWAY/ALLEYWAY,18 MECHANIC ST,20200407,1515,TUE,7.0,,,,
29,20014952.0,ASSAULT WITH A FIREARM,STREET/HIGHWAY/ALLEYWAY,286 SHELTON AVE,20200408,10,WED,7.0,,,,
30,20015195.0,BURGLARY-BREAKING & ENTERING,RESIDENCE/HOME,"516 ORANGE ST, APT45",20200411,1817,SAT,7.0,,,,
31,20015245.0,BURGLARY-BREAKING & ENTERING,RESIDENCE/HOME,"705 WINCHESTER AVE, F",220200412,1048,SUN,7.0,,,,
32,20014956.0,AGGRAVATED ASSAULT,RESIDENCE/HOME,480 FERRY ST,20200408,352,WED,8.0,,,,
33,20015010.0,INTIMIDATION WITH A WEAPON,RESIDENCE/HOME,"420 BLATCHLEY AVE, FL1",20200409,730,THU,8.0,,,,
34,20015053.0,BURGLARY-BREAKING & ENTERI,RGESIDENCE/HOME,280 FRONT ST,20200409,1850,THU,8.0,,,,
35,20014900.0,MOTOR VEHICLE THEFT (NH STEAL),STREET/HIGHWAY/ALLEYWAY,20 DONNA DR,20200407,1449,TUE,9.0,,,,
36,20015159.0,BURGLARY-BREAKING & ENTERING,RESIDENCE/HOME,"95 E GRAND AVE, APT01",20200411,853,SAT,9.0,,,,
37,20014913.0,LARCENY-FROM VEHICLE,STREET/HIGHWAY/ALLEYWAY,"200 GOFFE ST, APT58",20200407,1655,TUE,10.0,,,,
38,20014957.0,MOTOR VEHICLE THEFT (NH STEAL),SERVICE/GAS STATION,WHALLEY AVE & SHERMA,2A0V20E0408,653,WED,10.0,,,,
39,19044845.0,INTIMIDATION WITH A WEAP,SNTREET/HIGHWAY/ALLEYWAY,956 CHAPEL ST,20191106,1417,WED,1.0,,,,
40,19044636.0,ASSAULT WITH A FIREARM,STREET/HIGHWAY/ALLEYWAY,CENTRAL AVE & CHAPEL ST,20191105,52,TUE,2.0,,,,
41,19044647.0,BURGLARY-BREAKING & ENTERING,ARENA/STADIUM/FAIRGROUNDS,45 YALE AVE,20191105,714,TUE,2.0,,,,
42,19045138.0,BURGLARY-BREAKING & ENTERING,RESIDENCE/HOME,633 VALLEY ST,20191108,1004,FRI,2.0,,,,
43,19045219.0,FIREARM DISCHARGE (WEAPON LAW V,SOTLRAETEITO/NH)IGHWAY/ALLEYWAY,19 LEVEL ST,20191109,35,SAT,2.0,,,,
44,19044519.0,LARCENY-FROM VEHICLE,STREET/HIGHWAY/ALLEYWAY,595 CENTRAL AVE,20191104,904,MON,2.0,,,,
45,19045099.0,LARCENY-FROM VEHICLE,RESIDENCE/HOME,184 FOUNTAIN ST,20191108,844,FRI,2.0,,,,
46,19045148.0,BURGLARY-BREAKING & ENTERING,RESIDENCE/HOME,"94 FRANK ST, FL02",20191108,945,FRI,3.0,,,,
47,19044863.0,MOTOR VEHICLE THEFT (NH STEAL),PARKING LOT / GARAGE,360 COLUMBUS AVE,20191106,1707,WED,3.0,,,,
48,19045091.0,MOTOR VEHICLE THEFT (NH STEAL),STREET/HIGHWAY/ALLEYWAY,ARTHUR ST & LAMBERTON ST,20191108,820,FRI,3.0,,,,
49,19045309.0,BURGLARY-BREAKING & ENTER,RNEGSIDENCE/HOME,"98 NORTON ST, E1",20191109,1809,SAT,4.0,,,,
50,19044884.0,FIREARM DISCHARGE (WEAPON,LSATWRE VETIO/HLIAGTHIOWNA)Y/ALLEYWAY,9 JUDSON AVE,20191106,2253,WED,4.0,,,,
51,19045467.0,FIREARM DISCHARGE (WEAPON,LSATWRE VETIO/HLIAGTHIOWNA)Y/ALLEYWAY,132 DERBY AVE,20191110,2338,SUN,4.0,,,,
52,19045109.0,MOTOR VEHICLE THEFT (NH ST,ASTLR) EET/HIGHWAY/ALLEYWAY,309 WINTHROP AVE,20191108,749,FRI,4.0,,,,
53,19045244.0,ROBBERY,RESIDENCE/HOME,59 JUDSON AVE,20191109,37,SAT,4.0,,,,
54,19045416.0,ASSAULT WITH A FIREARM,,72 KENSIGNTON ST,20191110,1428,SUN,4.0,,,,
55,19044791.0,MOTOR VEHICLE THEFT (NH STEAL),STREET/HIGHWAY/ALLEYWAY,"52 ORCHARD ST, APTC",20191106,720,WED,5.0,,,,
56,19044887.0,BURGLARY-BREAKING & ENTERING,RESIDENCE/HOME,53 DIXWELL AVE,20191106,2145,WED,6.0,,,,
57,19044814.0,LARCENY-FROM VEHICLE,STREET/HIGHWAY/ALL,Y25W9 AYSHMUN ST,20191106,1033,WED,6.0,,,,
58,19044524.0,BURGLARY-BREAKING & ENTERING,RESIDENCE/HOME,240 LIVINGSTON ST,20191104,929,MON,7.0,,,,
59,19044910.0,BURGLARY-BREAKING & ENTERING,RESIDENCE/HOME,41 PLEASANT ST,20191107,823,THU,7.0,,,,
60,15058826.0,LARCENY-FROM VEHICLE,RESIDENCE/HOME,407 DIXWELL AVE,20191104,833,MON,7.0,,,,
61,19044659.0,LARCENY-FROM VEHICLE,STREET/HIGHWAY/ALLEYWAY,235 BISHOP ST,20191105,725,TUE,7.0,,,,
62,19044805.0,LARCENY-FROM VEHICLE,STREET/HIGHWAY/ALLEYWAY,140 EDWARDS ST,20191106,923,WED,7.0,,,,
63,19044821.0,LARCENY-FROM VEHICLE,STREET/HIGHWAY/ALLEYWAY,314 SHELTON AVE,20191106,1122,WED,7.0,,,,
64,19044920.0,LARCENY-FROM VEHICLE,PARKING LOT / GARAGE,35 ELD ST,20191107,816,THU,7.0,,,,
65,19044976.0,LARCENY-FROM VEHICLE,RESIDENCE/HOME,9 EVERIT ST,20191107,1235,THU,7.0,,,,
66,19045132.0,LARCENY-FROM VEHICLE,STREET/HIGHWAY/ALLEYWAY,"2 ELD ST, APT1",20191108,947,FRI,7.0,,,,
67,19045083.0,LARCENY-FROM VEHICLE,STREET/HIGHWAY/ALLEYWAY,PINE ST & CLINTON AVE,20191108,540,FRI,8.0,,,,
68,19045077.0,ROBBERY,RESIDENCE/HOME,66 CHATHAM ST,20191108,320,FRI,8.0,,,,
69,19044768.0,ROBBERY WITH A FIREARM,STREET/HIGHWAY/ALLEYWAY,25 FILLMORE ST,20191105,2130,TUE,8.0,,,,
70,19044792.0,MOTOR VEHICLE THEFT (NH STEAL),RESIDENCE/HOME,61 PARDEE ST,20191106,813,WED,9.0,,,,
71,19045403.0,MOTOR VEHICLE THEFT (NH STEAL),PARKING LOT / GARAGE,315 FOXON BLVD,20191110,1241,SUN,9.0,,,,
72,19045253.0,ROBBERY,SERVICE/GAS STATION,401 FORBES AVE,20191109,232,SAT,9.0,,,,
73,19045254.0,ROBBERY WITH A FIREARM,PARKING LOT / GARAGE,631 MIDDLETOWN AVE,20191109,210,SAT,9.0,,,,
74,19044644.0,LARCENY-FROM VEHICLE,RESIDENCE/HOME,216 COLONY RD,20191105,542,TUE,10.0,,,,
75,19044662.0,LARCENY-FROM VEHICLE,STREET/HIGHWAY/ALLEYWAY,1555 ELLA T GRASSO BLVD,20191105,1006,TUE,10.0,,,,
76,19045308.0,LARCENY-FROM VEHICLE,STREET/HIGHWAY/ALLEYWAY,480 SHERMAN PKY,20191109,1656,SAT,10.0,,,,
77,19044535.0,MOTOR VEHICLE THEFT (NH STEAL),RESIDENCE/HOME,241 ELLSWORTH AVE,20191104,1132,MON,10.0,,,,
78,19025754.0,BURGLARY-BREAKING & ENTERING,RESTAURANT,32 ORANGE ST,20190703,1102,WED,1.0,,,,
79,19025603.0,LARCENY-FROM VEHICLE,STREET/HIGHWAY/ALLEYWAY,265 SAINT JOHN ST,20190702,1308,TUE,1.0,,,,
80,19025855.0,ROBBERY,STREET/HIGHWAY/ALLEYWAY,400 BLAKE ST,20190703,2330,WED,2.0,,,,
81,19025854.0,FIREARM DISCHARGE (WEAPON LAW VIOLATION),51 LODGE ST,20190703,2305,WED,2,,,,,
82,19026168.0,AGGRAVATED ASSAULT,STREET/HIGHWAY/ALLEYWAY,137 PUTNAM ST,20190705,2356,FRI,3.0,,,,
83,19026165.0,FIREARM DISCHARGE (WEAPON LAW VIOLATI,RNE)SIDENCE/HOME,42 BUTTON ST,20190705,2137,FRI,3.0,,,,
84,19025478.0,INTIMIDATION WITH A WEAPON,STREET/HIGHWAY/ALLEYWAY,LONG WHARF DR & CANAL DOCK,20190701,1804,MON,3.0,,,,
85,19025743.0,LARCENY-FROM VEHICLE,STREET/HIGHWAY/ALLEYWAY,70 SEA ST,20190703,942,WED,3.0,,,,
86,19025899.0,MOTOR VEHICLE THEFT (NH STEAL),STREET/HIGHWAY/ALLEYWAY,GREENWICH AVE & KIMBERLY AV,20190704,1041,THU,3.0,,,,
87,19025933.0,AGGRAVATED ASSAULT,OTHER/UNKNOWN,1450 CHAPEL ST,20190704,1754,THU,4.0,,,,
88,19026164.0,INTIMIDATION WITH A WEAPON,STREET/HIGHWAY/ALLEYWAY,"88 KENSINGTON ST, APTA",20190705,2056,FRI,4.0,,,,
89,19025717.0,LARCENY-FROM VEHICLE,STREET/HIGHWAY/ALLEYWAY,HOWE ST & ELM ST,20190703,834,WED,4.0,,,,
90,19025859.0,MOTOR VEHICLE THEFT (NH STEAL),PARKING LOT / GARAGE,"42 HOWE ST, FL03",20190703,2302,WED,4.0,,,,
91,19026399.0,AGGRAVATED ASSAULT,RESIDENCE/HOME,16 VINE ST,20190707,1639,SUN,5.0,,,,
92,19025737.0,INTIMIDATION WITH A WEAPON,STREET/HIGHWAY/ALLEYWAY,35 PARK ST,20190703,1012,WED,5.0,,,,
93,19025757.0,ROBBERY,CONVENIENCE STORE,545 CONGRESS AVE,20190703,1226,WED,5.0,,,,
94,19026213.0,ROBBERY,STREET/HIGHWAY/ALLEYWAY,CONGRESS AVE & HOWARD AVE,20190706,1046,SAT,5.0,,,,
95,19025416.0,BURGLARY-BREAKING & ENTERING,RESIDENCE/HOME,550 DIXWELL AVE,20190701,837,MON,7.0,,,,
96,19025467.0,LARCENY-FROM VEHICLE,STREET/HIGHWAY/ALLEYWAY,20 ELD ST,20190701,1514,MON,7.0,,,,
97,19025413.0,MOTOR VEHICLE THEFT (NH STEAL),STREET/HIGHWAY/ALLEYWAY,99 AVON ST,20190701,951,MON,7.0,,,,
98,19025952.0,AGGRAVATED ASSAULT,RESIDENCE/HOME,384 FRONT ST,20190704,2019,THU,8.0,,,,
99,19025863.0,FIREARM DISCHARGE (WEAPON LAW VIOLATI,PNA)RKING LOT / GARAGE,"215 CHATHAM ST, H",20190704,108,THU,8.0,,,,
100,19026300.0,FIREARM DISCHARGE (WEAPON LAW VIOLATI,SNT)REET/HIGHWAY/ALLEYWAY,LOMBARD ST & ATWATER ST,20190706,2328,SAT,8.0,,,,
101,19025863.0,INTIMIDATION WITH A WEAPON,PARKING LOT / GARAGE,"215 CHATHAM ST, H",20190704,108,THU,8.0,,,,
102,19026309.0,MOTOR VEHICLE THEFT (NH STEAL),STREET/HIGHWAY/ALLEYWAY,GRAND AVE & FERRY ST,20190707,116,SUN,8.0,,,,
103,19025705.0,ROBBERY,PARKING LOT / GARAGE,291 FERRY ST,20190703,313,WED,8.0,,,,
104,19026193.0,ROBBERY,GROCERY/SUPERMARKET,ROWE ST & GRAFTON ST,20190706,333,SAT,8.0,,,,
105,19026309.0,ROBBERY,STREET/HIGHWAY/ALLEYWAY,GRAND AVE & FERRY ST,20190707,116,SUN,8.0,,,,
106,19025382.0,BURGLARY-BREAKING & ENTERING,INDUSTRIAL SITE,132 MAIN ST ANX,20190701,39,MON,9.0,,,,
107,19025409.0,LARCENY-FROM VEHICLE,RESIDENCE/HOME,4 ELMER ST,20190701,1005,MON,9.0,,,,
108,19026008.0,MOTOR VEHICLE THEFT (NH STEAL),PARKING LOT / GARAGE,471 WHALLEY AVE,20190705,646,FRI,10.0,,,,
109,19025702.0,MURDER & NON NEGLIGENT MANSLAUGHTER,RESIDENCE/HOME,672 ELM ST,20190703,139,WED,10.0,,,,
110,19025789.0,LARCENY-FROM VEHICLE,PARKING LOT / GARAGE,MUNSON ST & SHERMAN PKY,20190703,1619,WED,10.0,,,,
111,20008117.0,BURGLARY-BREAKING & ENT,BRAINRG/NIGHT CLUB,152 TEMPLE ST,20200216,1235,SUN,1.0,,,,
112,20007526.0,LARCENY-FROM VEHICLE,STREET/HIGHWAY/ALLEYWAY,ELM ST & TEMPLE ST,20200212,1809,WED,1.0,,,,
113,20007542.0,BURGLARY-BREAKING & ENTERING,PARKING LOT / GARAGE,1922 CHAPEL ST,20200212,2151,WED,2.0,,,,
114,20007559.0,BURGLARY-BREAKING & ENTERING,SPECIALITY STORE,51 AMITY RD,20200212,2325,WED,2.0,,,,
115,20007417.0,LARCENY-FROM VEHICLE,PARKING LOT / GARAGE,2015 CHAPEL ST,20200212,913,WED,2.0,,,,
116,20007787.0,LARCENY-FROM VEHICLE,STREET/HIGHWAY/ALLEYWAY,380 MCKINLEY AVE,20200214,1347,FRI,2.0,,,,
117,20007898.0,ROBBERY WITH A FIREARM,CONVENIENCE STORE,1336 WHALLEY AVE,20200214,2235,FRI,2.0,,,,
118,20007308.0,BURGLARY-BREAKING & ENTERING,RESIDENCE/HOME,202 HALLOCK AVE,20200213,921,THU,3.0,,,,
119,20007425.0,BURGLARY-BREAKING & ENTERING,RESTAURANT,255 KIMBERLY AVE,20200212,1016,WED,3.0,,,,
120,20007078.0,LARCENY-FROM VEHICLE,PARKING LOT / GARAGE,450 SARGENT DR,20200210,643,MON,3.0,,,,
121,20007590.0,LARCENY-FROM VEHICLE,STREET/HIGHWAY/ALLEYWAY,191 FRANK ST,20200213,1114,THU,3.0,,,,
122,20007751.0,LARCENY-FROM VEHICLE,STREET/HIGHWAY/ALLEYWAY,"117 KIMBERLY AVE, APT1",20200214,815,FRI,3.0,,,,
123,20007073.0,BURGLARY-BREAKING & ENTER,CNOGNVENIENCE STORE,1492 CHAPEL ST,20200210,158,MON,4.0,,,,
124,20007080.0,BURGLARY-BREAKING & ENTER,RNEGSIDENCE/HOME,"16 GARDEN ST, UNITE",20200210,740,MON,4.0,,,,
125,20007108.0,BURGLARY-BREAKING & ENTER,RNEGSTAURANT,376 ELM ST,20200210,903,MON,4.0,,,,
126,20007149.0,FIREARM DISCHARGE (WEAPON,LSATWRE VETIO/HLIAGTHIOWNA)Y/ALLEYWAY,72 KENSINGTON ST,20200210,1503,MON,4.0,,,,
127,20007178.0,MOTOR VEHICLE THEFT (NH ST,ASTLR) EET/HIGHWAY/ALLEYWAY,250 WHALLEY AVE,20200210,1728,MON,4.0,,,,
128,20007709.0,MOTOR VEHICLE THEFT (NH ST,ASTLR) EET/HIGHWAY/ALLEYWAY,1564 CHAPEL ST,20200213,2338,THU,4.0,,,,
129,20008092.0,ROBBERY,PARKING LOT / GARAGE,DAY ST & EDGEWOOD AVE,20200216,250,SUN,4.0,,,,
130,20007951.0,ROBBERY,STREET/HIGHWAY/ALLEYWAY,CONGRESS AVE & VERNON ST,20200215,636,SAT,5.0,,,,
131,20007403.0,BURGLARY-BREAKING & ENTERING,RESIDENCE/HOME,93 PEARL ST,20200212,211,WED,7.0,,,,
132,20007202.0,LARCENY-FROM VEHICLE,STREET/HIGHWAY/ALLEYWAY,EDWARDS ST & NASH ST,20200210,1826,MON,7.0,,,,
133,20007962.0,LARCENY-FROM VEHICLE,PARKING LOT / GARAGE,93 DIVISION ST,20200215,1046,SAT,7.0,,,,
134,20008103.0,LARCENY-FROM VEHICLE,STREET/HIGHWAY/ALLEYWAY,152 NEWHALL ST,20200216,1004,SUN,7.0,,,,
135,20007273.0,MOTOR VEHICLE THEFT (NH STEAL),RESIDENCE/HOME,54 POND ST,20200211,1029,TUE,7.0,,,,
136,20007392.0,MOTOR VEHICLE THEFT (NH STEAL),STREET/HIGHWAY/ALLEYWAY,680 DIXWELL AVE,20200211,2302,TUE,7.0,,,,
137,20008028.0,ROBBERY,STREET/HIGHWAY/ALLEYWAY,200 LIVINGSTON ST,20200215,1931,SAT,7.0,,,,
138,20007395.0,BURGLARY-BREAKING & ENTERI,RGESIDENCE/HOME,"422 BLATCHLEY AVE, FL02",20200211,2306,TUE,8.0,,,,
139,20007400.0,FIREARM DISCHARGE (WEAPON L,SWTR VEIEOTL/HAITGIOHNW)AY/ALLEYWAY,EXCHANGE ST & POPLAR ST,20200212,18,WED,8.0,,,,
140,20007334.0,FIREARM DISCHARGE (WEAPON L,SWTR VEIEOTL/HAITGIOHNW)AY/ALLEYWAY,158 POPLAR ST,20200211,1624,TUE,8.0,,,,
141,20007723.0,FIREARM DISCHARGE (WEAPON L,SWTR VEIEOTL/HAITGIOHNW)AY/ALLEYWAY,158 PINE ST,20200213,2323,THU,8.0,,,,
142,20007734.0,INTIMIDATION WITH A WEAPON,STREET/HIGHWAY/ALLEYWAY,23 BRIGHT ST,20200214,304,FRI,8.0,,,,
143,20007994.0,LARCENY-FROM VEHICLE,PARKING LOT / GARAGE,"133 CLAY ST, FL01REAR",20200215,950,SAT,8.0,,,,
144,20007408.0,LARCENY-FROM VEHICLE,STREET/HIGHWAY/ALLEYWAY,28 PERKINS ST,20200212,827,WED,8.0,,,,
145,20007409.0,LARCENY-FROM VEHICLE,RESIDENCE/HOME,62 PERKINS ST,20200212,836,WED,8.0,,,,
146,20007444.0,LARCENY-FROM VEHICLE,STREET/HIGHWAY/ALLEYWAY,206 CHAPEL ST,20200212,1343,WED,8.0,,,,
147,20007070.0,ROBBERY,STREET/HIGHWAY/ALLEYWAY,LOMBARD ST & ATWATER ST,20200210,235,MON,8.0,,,,
148,20007266.0,ROBBERY WITH A FIREARM,STREET/HIGHWAY/ALLEYWAY,POPLAR ST & WOOLSEY ST,20200211,928,TUE,8.0,,,,
149,20007321.0,BURGLARY-BREAKING & ENTERING,RESIDENCE/HOME,261 CLIFTON ST,20200211,1431,TUE,9.0,,,,
150,20007991.0,BURGLARY-BREAKING & ENTERING,RESIDENCE/HOME,"965 QUINNIPIAC AVE, FL01",20200215,1049,SAT,9.0,,,,
151,20007197.0,FORCIBLE RAPE,RESIDENCE/HOME,127 HYDE ST,20200210,1749,MON,9.0,,,,
152,20008122.0,INTIMIDATION WITH A WEAPON,RESIDENCE/HOME,"40 DONNA DR, APT7B",20200216,1302,SUN,9.0,,,,
153,20007250.0,MOTOR VEHICLE THEFT (NH STEAL),RESIDENCE/HOME,195 ROSEWOOD AVE,20200211,750,TUE,9.0,,,,
154,20007257.0,MOTOR VEHICLE THEFT (NH STEAL),RESIDENCE/HOME,231 RUSSELL ST,20200211,859,TUE,9.0,,,,
155,20007795.0,MOTOR VEHICLE THEFT (NH STEAL),STREET/HIGHWAY/ALLEYWAY,43 EMILY RD,20200214,1527,FRI,9.0,,,,
156,20008132.0,MOTOR VEHICLE THEFT (NH STEAL),STREET/HIGHWAY/ALLEYWAY,NORTON ST & WHALLEY A,2E0200216,1602,SUN,10.0,,,,
157,,AGGRAVATED ASSAULT,BAR/NIGHT CLUB,300 YORK STREET,20190922,248,SUN,,19038339.0,1.0,,
158,,BURGLARY-BREAKING & ENTERING,RESTAURANT,742 CHAPEL ST,20190919,2302,THU,,19038036.0,1.0,,
159,,LARCENY-FROM VEHICLE,PARKING LOT / GARAGE,532 STATE ST,20190920,1017,FRI,,19038076.0,1.0,,
160,,MOTOR VEHICLE THEFT (NH STEAL),STREET/HIGHWAY/ALLEYWAY,265 CHURCH ST,20190916,335,MON,,19037437.0,1.0,,
161,,MOTOR VEHICLE THEFT (NH STEAL),PARKING LOT / GARAGE,81 GEORGE ST,20190916,900,MON,,19037448.0,1.0,,
162,,MOTOR VEHICLE THEFT (NH STEAL),PARKING LOT / GARAGE,60 WARREN ST,20190916,952,MON,,19037459.0,1.0,,
163,,MOTOR VEHICLE THEFT (NH STEAL),STREET/HIGHWAY/ALLEYWAY,89 GEORGE ST,20190920,854,FRI,,19038065.0,1.0,,
164,,AGGRAVATED ASSAULT,RESIDENCE/HOME,"556 CENTRAL AVE, 1R",20190920,102,FRI,,19038047.0,2.0,,
165,,ASSAULT WITH A FIREARM,STREET/HIGHWAY/ALLEYWAY,20 BROOKSIDE AVE,20190922,1746,SUN,,19038415.0,2.0,,
166,,BURGLARY-BREAKING & ENTERING,SCHOOL-PRESCHOOL THRU 12TH,200 WILMOT RD,20190916,720,MON,,19037444.0,2.0,,
167,,BURGLARY-BREAKING & ENTERING,RESIDENCE/HOME,524 VALLEY ST,20190916,944,MON,,19037476.0,2.0,,
168,,INTIMIDATION WITH A WEAPON,RESIDENCE/HOME,"4 SHIRLEY WAY, APTA",20190919,2305,THU,,19038039.0,2.0,,
169,,LARCENY-FROM VEHICLE,PARKING LOT / GARAGE,568 CENTRAL AVE,20190917,809,TUE,,19037622.0,2.0,,
170,,LARCENY-FROM VEHICLE,PARKING LOT / GARAGE,195 CLEVELAND RD,20190917,955,TUE,,19037655.0,2.0,,
171,,LARCENY-FROM VEHICLE,STREET/HIGHWAY/ALLEYWAY,479 CENTRAL AVE,20190917,1313,TUE,,19037690.0,2.0,,
172,,LARCENY-FROM VEHICLE,PARKING LOT / GARAGE,"910 WHALLEY AVE, B",20190918,1011,WED,,19036867.0,2.0,,
173,,LARCENY-FROM VEHICLE,RESIDENCE/HOME,18 EDGEWOOD WAY,20190921,1129,SAT,,19038229.0,2.0,,
174,,MOTOR VEHICLE THEFT (NH STEAL),RESIDENCE/HOME,223 FAIRFIELD ST,20190917,1205,TUE,,19037669.0,2.0,,
175,,BURGLARY-BREAKING & ENTERING,GAMBLING/CASINO/RACE TRACK,600 LONG WHARF DR,20190921,512,SAT,,19038203.0,3.0,,
176,,BURGLARY-BREAKING & ENTERING,COMMERCIAL/OFFICE BLDG,470 ELLA T GRASSO BLVD,20190922,1127,SUN,,19038375.0,3.0,,
177,,LARCENY-FROM VEHICLE,STREET/HIGHWAY/ALLEYWAY,1 UNION AVE,20190918,131,WED,,19037760.0,3.0,,
178,,ROBBERY,CONVENIENCE STORE,16 KIMBERLY AVE,20190919,1237,THU,,19037958.0,3.0,,
179,,BURGLARY-BREAKING & ENTERING,RESIDENCE/HOME,143 GILBERT AVE,20190918,0156,WED,,19037765.0,4.0,,
180,,LARCENY-FROM VEHICLE,RESIDENCE/HOME,"248 ORCHARD ST, FL02",20190916,0736,MON,,19037451.0,4.0,,
181,,LARCENY-FROM VEHICLE,PARKING LOT / GARAGE,284 WHALLEY AVE,20190917,1222,TUE,,19037685.0,4.0,,
182,,MOTOR VEHICLE THEFT (NH STEAL),STREET/HIGHWAY/ALLEYWAY,312 WINTHROP AVE,20190919,0811,THU,,19037918.0,4.0,,
183,,FIREARM DISCHARGE (WEAPON LAW VIOLATION),"132 DERBY AVE,",20190922,439,SUN,4,,19038353.0,,,
184,,ROBBERY,STREET/HIGHWAY/ALLEYWAY,KENSINGTON ST & ELM ST,20190920,1839,FRI,,19038135.0,4.0,,
185,,BURGLARY-BREAKING & ENTERING,STREET/HIGHWAY/ALLEYWAY,"227 DAVENPORT AVE, APT1",20190920,1423,FRI,,19038101.0,5.0,,
186,,ROBBERY,PARK/PLAYGROUND,ARCH ST & CONGRESS AVE,20190919,1624,THU,,19037988.0,5.0,,
187,,LARCENY-FROM VEHICLE,STREET/HIGHWAY/ALLEYWAY,21 ADMIRAL ST,20190919,1244,THU,,19037955.0,6.0,,
188,,BURGLARY-BREAKING & ENTERING,STREET/HIGHWAY/ALLEYWAY,45 TRUMBULL ST,20190916,1000,MON,,19037477.0,7.0,,
